"Name";"State";"City";"Address";"Phone";"License";"Open Time";"Close Time"
"21 Rock";"AR";"Fayetteville";"Ap #509-5848 Semper Road";"(461) 808-5974";782710;7;22
"Adonis";"AZ";"Glendale";"Ap #450-7857 Pede. Ave";"(142) 445-9750";966745;9;20
"Agatesupermicro";"MS";"Southaven";"9283 Volutpat. Ave";"(424) 525-5532";853785;9;24
"Allie's";"UT";"West Jordan";"9245 Ullamcorper. Av.";"(220) 138-1160";543867;9;23
"Alligator Bayou Bar";"TX";"Dallas";"Ap #835-6430 Eget Street";"(489) 247-3433";438047;9;22
"Amf Seaway Lanes";"MN";"Rochester";"P.O. Box 815, 4964 Vehicula St.";"(129) 737-0428";960878;6;21
"Andrew Blairs Llc";"IL";"Springfield";"361-1212 Donec Street";"(787) 896-6388";702415;6;20
"B B King Blues Club";"DE";"Dover";"P.O. Box 858, 9989 Iaculis Rd.";"(835) 464-9943";643393;7;23
"Bailey's Bistro";"HI";"Kapolei";"1468 Nascetur Avenue";"(813) 162-7735";240153;7;24
"Bakers Keyboard Lounge";"KY";"Owensboro";"5238 Phasellus Av.";"(493) 823-2985";459036;8;22
"Bamboo Lounge";"NE";"Omaha";"3911 Purus, Street";"(320) 212-6727";416807;8;23
"Bar Louie Ann Arbor";"FL";"Jacksonville";"7622 Vulputate, Ave";"(221) 144-4653";440013;6;21
"Bar Louie Denver";"IL";"Naperville";"3708 Tortor. Av.";"(579) 436-5999";184542;6;23
"Barn";"AK";"Juneau";"181-2073 Turpis. Rd.";"(857) 715-4368";239204;7;23
"Bavarian Beer Nuts";"OH";"Cleveland";"Ap #604-4247 Auctor, St.";"(137) 746-9520";272278;6;21
"Bayou Bar & Grill";"WI";"Kenosha";"2939 Vestibulum Avenue";"(837) 652-2010";871258;9;20
"Beach House";"FL";"Tampa";"P.O. Box 902, 5644 Tempus Ave";"(988) 782-0493";720454;6;21
"Bed And Breakfast Travel";"MT";"Great Falls";"P.O. Box 414, 8264 Pede. Ave";"(856) 786-1903";958157;7;23
"BEER";"IN";"Gary";"8982 Donec St.";"(975) 216-9074";799434;8;20
"Bentz Street Sports Bar";"MS";"Biloxi";"P.O. Box 233, 7731 Lorem Av.";"(305) 124-5749";193515;8;24
"Better Way Marketing";"VA";"Virginia Beach";"Ap #264-2990 Blandit St.";"(281) 644-0724";598120;9;23
"Big Chill";"AL";"Montgomery";"P.O. Box 226, 9241 Feugiat. Ave";"(193) 931-3686";188514;6;20
"Billabongpub";"CO";"Colorado Springs";"Ap #603-5963 Justo Road";"(331) 838-3417";145752;7;20
"Billy Goat Tavern";"TN";"Chattanooga";"2017 Ut, Road";"(480) 491-9256";257848;6;21
"Bishops Pub & Grill";"OK";"Tulsa";"962-2491 Ante Rd.";"(839) 246-2325";311251;9;22
"Black Sheep";"MI";"Detroit";"Ap #701-637 Semper Road";"(314) 342-3459";450671;10;22
"Bleachers Inc";"TX";"Dallas";"P.O. Box 845, 5214 A Avenue";"(767) 909-1997";654500;8;21
"Blue Moon Lounge";"MI";"Flint";"P.O. Box 376, 2670 Proin Street";"(189) 581-5556";863022;10;23
"Blue Water Inn";"CA";"Sacramento";"438-7778 Ut Av.";"(245) 601-4049";260109;10;22
"Board Of Trade";"VA";"Newport News";"P.O. Box 748, 811 Est, St.";"(941) 599-7340";216820;10;23
"Boss";"ME";"Portland";"Ap #558-8918 Dui. Av.";"(897) 468-6615";752483;8;20
"Bostock's Billiards & Bar";"KY";"Frankfort";"2057 Parturient Road";"(180) 372-5019";992880;6;24
"Bourbon Street Pub";"DE";"Wilmington";"P.O. Box 344, 9786 Aenean Ave";"(703) 690-3505";664405;7;20
"Bracken's Pub";"AR";"Fort Smith";"Ap #191-7998 Purus. St.";"(170) 605-0821";576396;7;23
"Brackins";"IL";"Naperville";"9619 Mauris Street";"(604) 876-1777";369911;7;20
"Branch";"AZ";"Glendale";"681-216 Lorem St.";"(656) 692-1460";547099;8;24
"Branch Night Club";"IN";"Evansville";"Ap #420-6940 Lorem, Avenue";"(897) 537-9503";527847;7;20
