"transactionid";"item";"quantity"
"9b3e4de3-690f-4ad5-9305-513898a3288b";"Allagash White";1
"9b3e4de3-690f-4ad5-9305-513898a3288b";"Bell's Two-Hearted Ale";2
"9b3e4de3-690f-4ad5-9305-513898a3288b";"Pigs in a Blanket";2
"9b3e4de3-690f-4ad5-9305-513898a3288b";"Artichoke Dip";3
"9b3e4de3-690f-4ad5-9305-513898a3288b";"Melvin 2x4 Double IPA";3
"572e9cc0-cb14-4421-9b5a-135226d4e4b4";"Michelob Golden Draft Light";1
"572e9cc0-cb14-4421-9b5a-135226d4e4b4";"Chilli";2
"572e9cc0-cb14-4421-9b5a-135226d4e4b4";"Dogfish SeaQuench";3
"572e9cc0-cb14-4421-9b5a-135226d4e4b4";"Allagash White";3
"c95ef568-fdc7-4966-9bb2-55100992ef1d";"Onion Rings";3
"c95ef568-fdc7-4966-9bb2-55100992ef1d";"Melvin 2x4 Double IPA";1
"a3801405-9321-4a5c-9ff3-8287eaf4b6aa";"Michelob Golden Draft Light";1
"a3801405-9321-4a5c-9ff3-8287eaf4b6aa";"Dogfish SeaQuench";2
"85963471-e4ea-46d6-9bd0-3379a9d29700";"Deviled Eggs";3
"2807b703-3529-41d1-8b8b-bbedda53578b";"Extra Gold";2
"c238be77-7685-43b1-9c7c-17a7b5233cc2";"Chilli";2
"c238be77-7685-43b1-9c7c-17a7b5233cc2";"Extra Gold";2
"c238be77-7685-43b1-9c7c-17a7b5233cc2";"Suarez Family Palatine Pils";3
"c238be77-7685-43b1-9c7c-17a7b5233cc2";"Melvin 2x4 Double IPA";2
"c238be77-7685-43b1-9c7c-17a7b5233cc2";"Pigs in a Blanket";2
"57bf9d35-d188-4e1d-8ff1-a13fd793dfe2";"Chilli";3
"4394accb-6b5a-45a9-aae2-fb22af7e92d0";"Deviled Eggs";2
"4394accb-6b5a-45a9-aae2-fb22af7e92d0";"Melvin 2x4 Double IPA";2
"4394accb-6b5a-45a9-aae2-fb22af7e92d0";"Pigs in a Blanket";2
"4394accb-6b5a-45a9-aae2-fb22af7e92d0";"Michelob Golden Draft Light";1
"4394accb-6b5a-45a9-aae2-fb22af7e92d0";"Chilli";2
"e3cfe140-4a56-4873-b99c-6035a648c531";"Chilli";2
"e3cfe140-4a56-4873-b99c-6035a648c531";"Dogfish SeaQuench";2
"e3cfe140-4a56-4873-b99c-6035a648c531";"Onion Rings";2
"642a9ebd-1b39-4826-b712-c55537198533";"Chilli";1
"642a9ebd-1b39-4826-b712-c55537198533";"Michelob Golden Draft Light";1
"52e4b284-4432-4f99-8ed6-9f5298aed2b2";"Chilli";1
"52e4b284-4432-4f99-8ed6-9f5298aed2b2";"Artichoke Dip";2
"52e4b284-4432-4f99-8ed6-9f5298aed2b2";"Extra Gold";2
"7618d042-95c9-4e07-8b55-45b740018b6e";"Extra Gold";2
"7618d042-95c9-4e07-8b55-45b740018b6e";"Pigs in a Blanket";1
"f5236318-4f42-4a11-8f63-0d391f71d021";"Bell's Two-Hearted Ale";3
"f5236318-4f42-4a11-8f63-0d391f71d021";"Nachos";3
"f5236318-4f42-4a11-8f63-0d391f71d021";"Michelob Golden Draft Light";1
"f5236318-4f42-4a11-8f63-0d391f71d021";"Chilli";1
"c108b9a4-cffb-4ee9-bf1a-2544468a6275";"Chilli";1
"ca91318a-394d-42b9-acd2-2bddf09c1cae";"Nachos";1
"ca91318a-394d-42b9-acd2-2bddf09c1cae";"Onion Rings";2
"ca91318a-394d-42b9-acd2-2bddf09c1cae";"Pigs in a Blanket";3
"ca91318a-394d-42b9-acd2-2bddf09c1cae";"Artichoke Dip";3
"ca91318a-394d-42b9-acd2-2bddf09c1cae";"Extra Gold";2
"601db89b-d3ca-46dc-9f74-068bed50d475";"Onion Rings";1
"8a8e8ae0-2526-486c-b589-1377905110bf";"Michelob Golden Draft Light";2
"8a8e8ae0-2526-486c-b589-1377905110bf";"Melvin 2x4 Double IPA";3
"8a8e8ae0-2526-486c-b589-1377905110bf";"Chilli";1
"8a8e8ae0-2526-486c-b589-1377905110bf";"Pigs in a Blanket";3
"8a8e8ae0-2526-486c-b589-1377905110bf";"Allagash White";3
"9ca395a6-11b4-405c-b2f8-e9badda9816b";"Allagash White";1
"9ca395a6-11b4-405c-b2f8-e9badda9816b";"Michelob Golden Draft Light";2
"9ca395a6-11b4-405c-b2f8-e9badda9816b";"Nachos";3
"c46eaeb8-7e97-42db-bb43-d746497b6480";"Suarez Family Palatine Pils";3
"c46eaeb8-7e97-42db-bb43-d746497b6480";"Nachos";2
"23b4dc4a-763e-4a2f-b713-54a35df7c950";"Chilli";3
"23b4dc4a-763e-4a2f-b713-54a35df7c950";"Artichoke Dip";1
"23b4dc4a-763e-4a2f-b713-54a35df7c950";"Onion Rings";3
"23b4dc4a-763e-4a2f-b713-54a35df7c950";"Allagash White";3
"23b4dc4a-763e-4a2f-b713-54a35df7c950";"Michelob Golden Draft Light";1
"ae4a94be-3222-4566-b4fb-2b93bb49c80d";"Artichoke Dip";2
"ae4a94be-3222-4566-b4fb-2b93bb49c80d";"Deviled Eggs";2
"ae4a94be-3222-4566-b4fb-2b93bb49c80d";"Extra Gold";1
"ae4a94be-3222-4566-b4fb-2b93bb49c80d";"Nachos";1
"ae4a94be-3222-4566-b4fb-2b93bb49c80d";"Suarez Family Palatine Pils";1
"b6df09f5-2f02-4096-af7b-886a421e2e30";"Dogfish SeaQuench";1
"b6df09f5-2f02-4096-af7b-886a421e2e30";"Allagash White";3
"b6df09f5-2f02-4096-af7b-886a421e2e30";"Nachos";2
"b6df09f5-2f02-4096-af7b-886a421e2e30";"Extra Gold";1
"b6df09f5-2f02-4096-af7b-886a421e2e30";"Pigs in a Blanket";3
"04415848-bbf9-4d48-b5e7-83088a2457f3";"Pigs in a Blanket";3
"3ad7587f-341c-488a-a119-a18df4aaa104";"Bell's Two-Hearted Ale";1
"3ad7587f-341c-488a-a119-a18df4aaa104";"Deviled Eggs";1
"3ad7587f-341c-488a-a119-a18df4aaa104";"Nachos";2
"3ad7587f-341c-488a-a119-a18df4aaa104";"Allagash White";2
"3ad7587f-341c-488a-a119-a18df4aaa104";"Melvin 2x4 Double IPA";3
"363e83b5-a407-4354-a799-6724110113af";"Artichoke Dip";2
"363e83b5-a407-4354-a799-6724110113af";"Suarez Family Palatine Pils";1
"363e83b5-a407-4354-a799-6724110113af";"Melvin 2x4 Double IPA";2
"644bd5f7-834a-4e7f-a726-a17e85aa283d";"Artichoke Dip";3
"644bd5f7-834a-4e7f-a726-a17e85aa283d";"Extra Gold";3
"644bd5f7-834a-4e7f-a726-a17e85aa283d";"Chilli";2
"af3368f8-2654-4521-afeb-defdb4eab6b7";"Chilli";1
"b9f162b7-14c9-42aa-b17f-2a1d7e1e4afc";"Suarez Family Palatine Pils";3
"b9f162b7-14c9-42aa-b17f-2a1d7e1e4afc";"Michelob Golden Draft Light";3
"b9f162b7-14c9-42aa-b17f-2a1d7e1e4afc";"Chilli";3
"d5ee98cc-d3fe-446f-bdca-3192cdd9c8d3";"Onion Rings";2
"d5ee98cc-d3fe-446f-bdca-3192cdd9c8d3";"Chilli";2
"d5ee98cc-d3fe-446f-bdca-3192cdd9c8d3";"Allagash White";3
"d5ee98cc-d3fe-446f-bdca-3192cdd9c8d3";"Nachos";3
"9828ba04-c2a9-4b70-8609-b14ad8ffc26d";"Bell's Two-Hearted Ale";3
"9828ba04-c2a9-4b70-8609-b14ad8ffc26d";"Extra Gold";2
"8fcc07b9-36ac-4c1d-8a22-891823ab3619";"Suarez Family Palatine Pils";3
"8fcc07b9-36ac-4c1d-8a22-891823ab3619";"Artichoke Dip";2
"8fcc07b9-36ac-4c1d-8a22-891823ab3619";"Nachos";1
"8fcc07b9-36ac-4c1d-8a22-891823ab3619";"Bell's Two-Hearted Ale";1
"8fcc07b9-36ac-4c1d-8a22-891823ab3619";"Allagash White";2
"460e5876-0b13-4858-9254-6e1d56bf824a";"Artichoke Dip";1
"460e5876-0b13-4858-9254-6e1d56bf824a";"Suarez Family Palatine Pils";1
"460e5876-0b13-4858-9254-6e1d56bf824a";"Michelob Golden Draft Light";1
"d39cfa0a-d94e-44ee-a0a1-b8f53b87ddb1";"Onion Rings";2
"91f49002-f5c3-4c51-8518-2b9d5012029e";"Artichoke Dip";1
"91f49002-f5c3-4c51-8518-2b9d5012029e";"Michelob Golden Draft Light";1
"91f49002-f5c3-4c51-8518-2b9d5012029e";"Deviled Eggs";2
"91f49002-f5c3-4c51-8518-2b9d5012029e";"Extra Gold";1
"bb3276a7-7e6f-4de3-9e45-bf6b9472d58e";"Suarez Family Palatine Pils";2
"f5541c5b-aa0d-4cf7-a16e-492e871d6ab1";"Onion Rings";1
"f5541c5b-aa0d-4cf7-a16e-492e871d6ab1";"Allagash White";2
"f5541c5b-aa0d-4cf7-a16e-492e871d6ab1";"Melvin 2x4 Double IPA";2
"63e0451b-d800-4702-8bd7-6c1141572158";"Deviled Eggs";1
"63e0451b-d800-4702-8bd7-6c1141572158";"Dogfish SeaQuench";3
"63e0451b-d800-4702-8bd7-6c1141572158";"Pigs in a Blanket";1
"63e0451b-d800-4702-8bd7-6c1141572158";"Artichoke Dip";3
"09a5374d-ac6e-47ad-8d16-2a3a3dc39142";"Chilli";2
"09a5374d-ac6e-47ad-8d16-2a3a3dc39142";"Deviled Eggs";2
"09a5374d-ac6e-47ad-8d16-2a3a3dc39142";"Nachos";1
"09a5374d-ac6e-47ad-8d16-2a3a3dc39142";"Artichoke Dip";1
"09a5374d-ac6e-47ad-8d16-2a3a3dc39142";"Allagash White";3
"00e2dfaf-4840-4617-b2e2-d4fc3cf2b1a2";"Melvin 2x4 Double IPA";3
"00e2dfaf-4840-4617-b2e2-d4fc3cf2b1a2";"Pigs in a Blanket";2
"00e2dfaf-4840-4617-b2e2-d4fc3cf2b1a2";"Nachos";1
"00e2dfaf-4840-4617-b2e2-d4fc3cf2b1a2";"Deviled Eggs";2
"40c036a6-4bab-4f85-8bb7-3dc000966bfd";"Melvin 2x4 Double IPA";1
"40c036a6-4bab-4f85-8bb7-3dc000966bfd";"Pigs in a Blanket";1
"40c036a6-4bab-4f85-8bb7-3dc000966bfd";"Michelob Golden Draft Light";1
"40c036a6-4bab-4f85-8bb7-3dc000966bfd";"Bell's Two-Hearted Ale";3
"40c036a6-4bab-4f85-8bb7-3dc000966bfd";"Chilli";2
"4b6e30ad-d271-4eda-905e-861ef94e47f5";"Allagash White";2
"4b6e30ad-d271-4eda-905e-861ef94e47f5";"Onion Rings";2
"4b6e30ad-d271-4eda-905e-861ef94e47f5";"Suarez Family Palatine Pils";3
"4b6e30ad-d271-4eda-905e-861ef94e47f5";"Nachos";3
"8b0f7032-d9b7-42f7-b617-92cfca0b8bca";"Nachos";1
