bar;item;price
21 Rock;Suarez Family Palatine Pils;5.32
21 Rock;Melvin 2x4 Double IPA;5.96
21 Rock;Michelob Golden Draft Light;7.42
21 Rock;Bell's Two-Hearted Ale;7.5
21 Rock;Dogfish SeaQuench;8.28
21 Rock;Allagash White;9.04
21 Rock;Extra Gold;9.78
21 Rock;Deviled Eggs;11.81
21 Rock;Artichoke Dip;12.76
21 Rock;Chilli;13.3
21 Rock;Pigs in a Blanket;13.39
21 Rock;Onion Rings;14.15
21 Rock;Nachos;14.71
Adonis;Hefeweizen;5.81
Adonis;Michelob ULTRA;6.62
Adonis;Brooklyn Bel Air Sour;7.23
Adonis;Tired Hands SaisonHands;7.71
Adonis;Toppling Goliath King Sue;7.88
Adonis;Stolichnaya Citrona;8.11
Adonis;New Belgium La Folie;9.21
Adonis;Allagash White;9.27
Adonis;Russian River STS;9.32
Adonis;Disco Fries;10.95
Adonis;Shrimp Cocktail;11.19
Adonis;Artichoke Dip;11.27
Adonis;Sloppy Joe;12.72
Adonis;Chilli;13.04
Adonis;Pigs in a Blanket;13.22
Adonis;Fried Pickles;13.53
Adonis;Mozzarella Sticks;13.8
Adonis;Cheese Fries;13.93
Adonis;Buffalo Wings;14.63
Agatesupermicro;ICEHOUSE;5.29
Agatesupermicro;Michelob ULTRA;5.44
Agatesupermicro;New Glarus Berliner Weiss;5.47
Agatesupermicro;Original Premium;6.52
Agatesupermicro;Trilliul Vicinity;7.15
Agatesupermicro;Toppling Goliath King Sue;7.62
Agatesupermicro;Creamy Dark;8.14
Agatesupermicro;Michelob Golden Draft Light;8.43
Agatesupermicro;Sun King Afternoon Delight;8.68
Agatesupermicro;Burial Griddle;9.28
Agatesupermicro;Zima;9.51
Agatesupermicro;French Fries;10.34
Agatesupermicro;Shrimp Cocktail;11.25
Agatesupermicro;Chilli;12.77
Agatesupermicro;Fried Pickles;13.28
Agatesupermicro;Nachos;14.33
Allie's;Suarez Family Palatine Pils;5.15
Allie's;Brooklyn Bel Air Sour;5.41
Allie's;Sauza Diablo;5.66
Allie's;Summit Extra Pale Ale;5.99
